,PID,GENDER,TITLE,CATEGORY,NEW_TAG,file_loc,rem_img,season
10,Men-ame011,Men,퀼팅 활용법,americancasual,"['겨울', '아메리칸', '캐주얼', '아메카지', '퀼팅', '컬러블록', '레이어드룩', '오버핏', '구두', '도서', '음반', '라퍼지스토어', '맨투맨', '스웨트셔츠', '메신저', '크로스', '백', '브래디백', '셔츠', '블라우스', '숏패딩', '숏헤비', '아우터', '슈페너', '코튼', '팬츠', '']",fashion_dataset/americancasual/americancasual_Men_011.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_011.png,겨울
11,Men-ame012,Men,아메카지 무드,americancasual,"['겨울', '아메리칸', '캐주얼', '얼죽코', '더플코트', '스트라이프', '핀턱', '컬러블록', '아메카지', '겨울', '기타', '코트', '구두', '기타', '스니커즈', '니트', '스웨터', '닥터마틴', '데님', '팬츠', '메신저', '크로스', '백', '와일드', '브릭스', '이티씨이', '캡', '야구', '모자', '키뮤어', '프리저브드', '스테이션', '']",fashion_dataset/americancasual/americancasual_Men_012.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_012.png,겨울
12,Men-ame013,Men,스카프 포인트,americancasual,"['겨울', '아메리칸', '캐주얼', '더플코트', '퀼팅', '핀턱', '레이어드룩', '와이드핏', '체크패턴', '아메카지', '얼죽코', '겨울', '기타', '코트', '부츠', '셔츠', '블라우스', '스카프', '반다나', '예일', '와일드', '브릭스', '이티씨이', '인더스트', '코튼', '팬츠', '톤즈', '팀버랜드', '패딩', '베스트', '헌팅캡', '베레모', '']",fashion_dataset/americancasual/americancasual_Men_013.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_013.png,겨울
13,Men-ame014,Men,워너비 컬러 매치,americancasual,"['겨울', '아메리칸', '캐주얼', '아메카지', '와이드핏', '절개', '라스트리조트', '레테르코모', '모노노', '보드화', '셔츠', '블라우스', '숄더백', '아노니모아노니마', '아웃스탠딩', '캔버스', '단화', '캡', '야구', '모자', '코튼', '팬츠', '패딩', '베스트', '폴러스터프', '']",fashion_dataset/americancasual/americancasual_Men_014.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_014.png,겨울
14,Men-ame015,Men,겨울 아메카지 룩,americancasual,"['겨울', '아메리칸', '캐주얼', '레이어드룩', '코듀로이', '빅카라', '스티치', '와이드핏', '아메카지', '디미트리블랙', '르라레', '베스트', '부츠', '비니', '셔츠', '블라우스', '숏패딩', '숏헤비', '아우터', '스페셜게스트', '이티씨이', '코튼', '팬츠', '쿠어', '팀버랜드', '']",fashion_dataset/americancasual/americancasual_Men_015.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_015.png,겨울
15,Men-ame016,Men,프렌치 캐주얼,americancasual,"['겨울', '아메리칸', '캐주얼', '겨울', '싱글', '코트', '구두', '니트', '스웨터', '메신저', '크로스', '백', '모카신', '보트', '슈즈', '셔츠', '블라우스', '셔터', '슈트', '팬츠', '슬랙스', '씨엔엔', '어패럴', '에스피오나지', '에이에이에이', '하이텐션', '예일', '이티씨이', '클래티지', '팔찌', '헌팅캡', '베레모', '발마칸코트', '체크', '와이드핏', '뉴트럴톤', '스트라이프', '남친룩', '']",fashion_dataset/americancasual/americancasual_Men_016.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_016.png,겨울
16,Men-ame017,Men,이지 워크 웨어,americancasual,"['겨울', '아메리칸', '캐주얼', '86로드', '데님', '팬츠', '레테르코모', '보이런던와치', '부츠', '브래디백', '셔츠', '블라우스', '쿼츠', '아날로그', '토트백', '트러커', '재킷', '팀버랜드', '필루미네이트', '코듀로이', '체크', '와이드핏', '워크웨어', '핀턱', '']",fashion_dataset/americancasual/americancasual_Men_017.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_017.png,겨울
17,Men-ame018,Men,아메카지 룩,americancasual,"['겨울', '아메리칸', '캐주얼', '퀼팅', '와이드핏', '핀턱', '컬러포인트', '아메카지', '구두', '기타', '바지', '기타', '아우터', '레테르코모', '머플러', '메신저', '크로스', '백', '모카신', '보트', '슈즈', '밀로', '선데이후르츠마켓', '에러스익셉티드', '이티씨이', '클래티지', '헌팅캡', '베레모', '후드', '티셔츠', '']",fashion_dataset/americancasual/americancasual_Men_018.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_018.png,겨울
18,Men-ame019,Men,센스 있는 연출,americancasual,"['겨울', '아메리칸', '캐주얼', '더플코트', '아가일', '코듀로이', '핀턱', '와이드핏', '컬러블록', '빈티지', '겨울', '싱글', '코트', '마인드브릿지', '맨투맨', '스웨트셔츠', '밀로', '베스트', '브래디백', '알렌느', '에스피오나지', '유니폼브릿지', '캔버스', '단화', '캡', '야구', '모자', '컨버스', '코튼', '팬츠', '토트백', '']",fashion_dataset/americancasual/americancasual_Men_019.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_019.png,겨울
19,Men-ame020,Men,빈티지 바이브,americancasual,"['겨울', '아메리칸', '캐주얼', '무스탕', '퍼', '레더', '와이드핏', '워싱', '스티치', '빈티지', '체크패턴', '니트', '스웨터', '닥스', '남성', '액세서리', '데님', '팬츠', '도서', '음반', '머플러', '메신저', '크로스', '백', '부츠', '브래디백', '브아빗', '브이투', '블로퍼', '비헤비어', '슈페너', '이티씨이', '장갑', '캡', '야구', '모자', '']",fashion_dataset/americancasual/americancasual_Men_020.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_020.png,겨울
20,Men-ame021,Men,아메카지,americancasual,"['겨울', '아메리칸', '캐주얼', '구두', '기타', '아우터', '리끌로우', '머플러', '브래디백', '슈페너', '아노락', '재킷', '에이에이에이', '하이텐션', '오프그리드', '이벳필드', '이티씨이', '코튼', '팬츠', '토트백', '팔찌', '퀼팅', '컬러포인트', '아메카지', '빈티지', '뉴트럴톤', '']",fashion_dataset/americancasual/americancasual_Men_021.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_021.png,겨울
21,Men-ame022,Men,더플코트 코디,americancasual,"['겨울', '아메리칸', '캐주얼', '겨울', '기타', '코트', '구두', '먼스인먼스아웃', '모카신', '보트', '슈즈', '뮤지엄바이비컨', '비헤비어', '셔츠', '블라우스', '아노니모아노니마', '안경', '양말', '이티씨이', '캡', '야구', '모자', '코튼', '팬츠', '클래티지', '톤즈', '더플코트', '카고', '컬러블록', '코듀로이', '자수', '아메카지', '체크', '뉴트럴톤', '']",fashion_dataset/americancasual/americancasual_Men_022.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_022.png,겨울
22,Men-ame023,Men,빈티지 무드,americancasual,"['겨울', '아메리칸', '캐주얼', '구두', '기타', '시계', '도서', '음반', '로퍼', '메신저', '크로스', '백', '밀로', '브래디백', '선데이후르츠마켓', '세인트스코트런던', '숏패딩', '숏헤비', '아우터', '아이헤이트먼데이', '양말', '와일드', '브릭스', '이벳필드', '캡', '야구', '모자', '코튼', '팬츠', '클레망', '후드', '티셔츠', '퀼팅', '아메카지', '코듀로이', '컬러블록', '빈티지', '그래픽', '와펜', '']",fashion_dataset/americancasual/americancasual_Men_023.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_023.png,겨울
23,Men-ame024,Men,아메카지 무드,americancasual,"['겨울', '아메리칸', '캐주얼', '아메카지', '핀턱', '오버핏', '디퍼런트이즈.오케이', '리베르텡', '메신저', '크로스', '백', '밀로', '부츠', '블로퍼', '비헤비어', '셔츠', '블라우스', '숏패딩', '숏헤비', '아우터', '슈페너', '유니온가먼츠', '캡', '야구', '모자', '트레이닝', '조거', '팬츠', '']",fashion_dataset/americancasual/americancasual_Men_024.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_024.png,겨울
24,Men-ame025,Men,겨울 아메카지,americancasual,"['겨울', '아메리칸', '캐주얼', '아메카지', '스트라이프', '와이드핏', '절개', '뉴트럴톤', '니트', '스웨터', '레씨토', '모노노', '부츠', '브리프케이스', '비슬로우', '사파리', '헌팅', '재킷', '아노니모아노니마', '척', '코튼', '팬츠', '헌팅캡', '베레모', '']",fashion_dataset/americancasual/americancasual_Men_025.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_025.png,겨울
25,Men-ame026,Men,아메카지,americancasual,"['겨울', '아메리칸', '캐주얼', '구두', '내셔널지오그래픽', '도미넌트', '모카신', '보트', '슈즈', '비헤비어', '선데이후르츠마켓', '셔츠', '블라우스', '숄더백', '숏패딩', '숏헤비', '아우터', '유니폼브릿지', '캡', '야구', '모자', '클래티지', '트레이닝', '조거', '팬츠', '후드', '티셔츠', '']",fashion_dataset/americancasual/americancasual_Men_026.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_026.png,겨울
26,Men-ame027,Men,매력적인 무드,americancasual,"['겨울', '아메리칸', '캐주얼', '레더', '무톤재킷', '아메카지', '겐지', '긴소매', '티셔츠', '드로우핏', '레테르코모', '무스탕', '퍼', '브이투', '블로퍼', '비에스큐티바이클래시', '셔츠', '블라우스', '안경', '유니폼브릿지', '캔버스', '단화', '코튼', '팬츠', '']",fashion_dataset/americancasual/americancasual_Men_027.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_027.png,겨울
27,Men-ame028,Men,미니멀한 무드,americancasual,"['겨울', '아메리칸', '캐주얼', '아메카지', '핀턱', '와이드핏', '구두', '긴소매', '티셔츠', '데님', '팬츠', '디앤에스알', '버킷', '사파리햇', '사파리', '헌팅', '재킷', '아웃', '오브', '트렁크', '아웃스탠딩', '포트너스', '피렌체', '아뜨리에', '']",fashion_dataset/americancasual/americancasual_Men_028.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_028.png,겨울
28,Men-ame029,Men,빈티지한 색감,americancasual,"['겨울', '아메리칸', '캐주얼', '247', '서울', '데님', '팬츠', '디써티원', '로드', '존', '그레이', '롱패딩', '롱헤비', '아우터', '시에라디자인', '오가프', '장갑', '제너럴아이디어', '스탠다드', '캔버스', '단화', '컨버스', '헌팅캡', '베레모', '아메카지', '빈티지', '체크', '노르딕', '피쉬테일', '와이드핏', '핸드워머', '스티치', '']",fashion_dataset/americancasual/americancasual_Men_029.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_029.png,겨울
29,Men-ame030,Men,돋보이는 조합,americancasual,"['겨울', '아메리칸', '캐주얼', '컬러블록', '타이다이', '핀턱', '벌룬핏', '플리스', '퀼팅', '아메카지', '로사케이', '머플러', '부츠', '셔츠', '블라우스', '숄더백', '스타디움', '재킷', '알도', '알에스씨', '언더컨트롤', '컬럼비아', '유니버시티', '코튼', '팬츠', '해브해드', '']",fashion_dataset/americancasual/americancasual_Men_030.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_030.png,겨울
30,Men-ame031,Men,더플코트의 계절,americancasual,"['겨울', '아메리칸', '캐주얼', '겨울', '기타', '코트', '긴소매', '티셔츠', '뉴베리니팅', '다이아몬드', '레이라', '런던트레디션', '밀리어네어햇', '밀리언코르', '부츠', '셔츠', '블라우스', '숄더백', '알도', '에이제로', '장갑', '코튼', '팬츠', '테네르', '헌팅캡', '베레모', '더플코트', '얼죽코', '체크셔츠', '레이어드룩', '아메카지', '코듀로이', '뉴트럴톤', '']",fashion_dataset/americancasual/americancasual_Men_031.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_031.png,겨울
31,Men-ame032,Men,센스 있는 룩,americancasual,"['겨울', '아메리칸', '캐주얼', '오버핏', '페이즐리', '와이드핏', '퀼팅', '카고', '키높이', '아메카지', '레이어드룩', '곤니치와봉쥬르', '기타', '바지', '기타', '스니커즈', '논플로어', '메신저', '크로스', '백', '바잘', '셔츠', '블라우스', '숏패딩', '숏헤비', '아우터', '에이제로', '오가프', '오찌', '커버낫', '헌팅캡', '베레모', '']",fashion_dataset/americancasual/americancasual_Men_032.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_032.png,겨울
32,Men-ame033,Men,뉴트럴 색감,americancasual,"['겨울', '아메리칸', '캐주얼', '247시리즈', '로스트가든', '리', '맨투맨', '스웨트셔츠', '미니포커스', '부츠', '숏패딩', '숏헤비', '아우터', '카디건', '캘빈클라인', '진', '코닥', '코튼', '팬츠', '쿼츠', '아날로그', '토트백', '뉴트럴톤', '코듀로이', '패치워크', '로고플레이', '한파', '']",fashion_dataset/americancasual/americancasual_Men_033.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_033.png,겨울
33,Men-ame034,Men,빈티지 아메카지,americancasual,"['겨울', '아메리칸', '캐주얼', '라모랭', '리', '바잘', '반스', '빌포드', '사르토르', '리사르투스', '시에라디자인', '트래블', '레이어드룩', '리버서블', '아메카지', '카고', '컬러포인트', '스티치', '메신저', '크로스', '백', '잡지', '무크지', '캔버스', '단화', '트러커', '재킷', '코튼', '팬츠', '패딩', '베스트', '셔츠', '블라우스', '비니', '장갑', '']",fashion_dataset/americancasual/americancasual_Men_034.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_034.png,겨울
34,Men-ame035,Men,아메카지 무드,americancasual,"['겨울', '아메리칸', '캐주얼', '나이스고스트클럽', '뉴베리니팅', '라모랭', '로스트가든', '밀리어네어햇', '비헤비어', '빌포드', '아메카지', '레더', '레이어드룩', '카고', '체크', '그래픽', '빈티지', '키높이', '헌팅캡', '베레모', '니트', '스웨터', '카디건', '긴소매', '티셔츠', '코튼', '팬츠', '숄더백', '구두', '베스트', '장갑', '']",fashion_dataset/americancasual/americancasual_Men_035.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_035.png,겨울
35,Men-ame036,Men,센스 있는 매치,americancasual,"['겨울', '아메리칸', '캐주얼', '더니트컴퍼니', '랩12', '로스트가든', '리', '에이지', '그레이', '커버낫', '케이엔드', '레이어드룩', '스티치', '아메카지', '스트라이프', '키높이', '와이드핏', '헌팅캡', '베레모', '니트', '스웨터', '셔츠', '블라우스', '장갑', '메신저', '크로스', '백', '코튼', '팬츠', '겨울', '기타', '코트', '부츠', '']",fashion_dataset/americancasual/americancasual_Men_036.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_036.png,겨울
36,Men-ame037,Men,빈티지한 색감,americancasual,"['겨울', '아메리칸', '캐주얼', '뉴베리니팅', '무신사', '스탠다드', '비전스트릿웨어', '빌포드', '스카르파', '앵글런', '커버낫', '퍼', '리버서블', '뉴트럴톤', '빈티지', '카고', '벌룬핏', '아메카지', '장갑', '기타', '바지', '등산', '트레킹화', '숏패딩', '숏헤비', '아우터', '카디건', '숄더백', '니트', '스웨터', '']",fashion_dataset/americancasual/americancasual_Men_037.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_037.png,겨울
37,Men-ame038,Men,셋업으로 코디,americancasual,"['겨울', '아메리칸', '캐주얼', '셋업코디', '뉴트럴톤', '체크', '아메카지', '레이어드룩', '톤온톤', '절개', '닥터마틴', '률앤와이', '밀리어네어햇', '오아트', '와릿이즌', '플랙', '헌팅캡', '베레모', '블로퍼', '부츠', '데님', '팬츠', '트러커', '재킷', '니트', '스웨터', '숏패딩', '숏헤비', '아우터', '안경', '']",fashion_dataset/americancasual/americancasual_Men_038.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_038.png,겨울
38,Men-ame039,Men,따뜻한 컬러,americancasual,"['겨울', '아메리칸', '캐주얼', '체크', '체크셔츠', '뉴트럴톤', '와이드핏', '핀턱', '아메카지', '23.65', '마지언타이틀', '브렌슨', '에잇세컨즈', '예일', '필루미네이트', '숄더백', '숏패딩', '숏헤비', '아우터', '코튼', '팬츠', '스카프', '반다나', '슬리퍼', '']",fashion_dataset/americancasual/americancasual_Men_039.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_039.png,겨울
39,Men-ame040,Men,겨울 아메카지,americancasual,"['겨울', '아메리칸', '캐주얼', '247', '서울', '노클', '밀리어네어햇', '바이엘', '앵글런', '코드그라피', '플래닛머큐리', '호보켄', '아메카지', '레이어드룩', '벌룬핏', '카고', '체크', '플리스', '헌팅캡', '헌팅캡', '베레모', '머플러', '기타', '바지', '구두', '셔츠', '블라우스', '플리스', '뽀글이', '베스트', '메신저', '크로스', '백', '']",fashion_dataset/americancasual/americancasual_Men_040.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_040.png,겨울
40,Men-ame041,Men,센스 있는 매치,americancasual,"['겨울', '아메리칸', '캐주얼', '아메카지', '체크', '스티치', '컬러블록', '랩12', '로맨틱크라운', '리', '비에스큐티바이클래시', '아브라함문', '와이케이', '우알롱', '카부', '블로퍼', '캔버스', '단화', '헌팅캡', '베레모', '머플러', '메신저', '크로스', '백', '트러커', '재킷', '긴소매', '티셔츠', '데님', '팬츠', '기타', '아우터', '']",fashion_dataset/americancasual/americancasual_Men_041.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_041.png,겨울
41,Men-ame042,Men,멋스러워,americancasual,"['겨울', '아메리칸', '캐주얼', '라모랭', '라이프', '아카이브', '롤링스튜디오', '빌포드', '아브라함문', '안데르센', '안데르센', '와일드', '브릭스', '투큐브', '포스트맨', '그래픽', '체크', '뉴트럴톤', '아메카지', '카고', '더플코트', '얼죽코', '비니', '머플러', '장갑', '겨울', '기타', '코트', '맨투맨', '스웨트셔츠', '안경', '코튼', '팬츠', '숄더백', '부츠', '']",fashion_dataset/americancasual/americancasual_Men_042.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_042.png,겨울
42,Men-ame043,Men,조화로운 룩,americancasual,"['겨울', '아메리칸', '캐주얼', '노티카', '마우', '모던경방', '우알롱', '유니폼브릿지', '카부', '파르티멘토', '레이어드룩', '톤온톤', '뉴트럴톤', '코듀로이', '아메카지', '핀턱', '사파리', '헌팅', '재킷', '디지털', '메신저', '크로스', '백', '패션스니커즈화', '트루퍼', '안경', '긴소매', '티셔츠', '코튼', '팬츠', '']",fashion_dataset/americancasual/americancasual_Men_043.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_043.png,겨울
43,Men-ame044,Men,소년미 가득,americancasual,"['겨울', '아메리칸', '캐주얼', '컬러블록', '스트라이프', '크롭', '아메카지', '러프사이드', '로맨틱크라운', '마크비', '와일드', '브릭스', '질스튜어트', '맨', '액세서리', '토마스', '베일리', '파르티멘토', '헌팅캡', '베레모', '구두', '넥타이', '셔츠', '블라우스', '에코백', '슈트', '팬츠', '슬랙스', '스타디움', '재킷', '']",fashion_dataset/americancasual/americancasual_Men_044.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_044.png,겨울
44,Men-ame045,Men,포근한 착용,americancasual,"['겨울', '아메리칸', '캐주얼', '글랙', '러프사이드', '빌포드', '스테이지', '네임', '아노트', '오프그리드', '와일드', '브릭스', '오드서커스', '리버서블', '뉴트럴톤', '카고', '페이즐리', '빈티지', '한파', '카무플라주', '컬러블록', '레이어드룩', '키링', '키케이스', '캔버스', '단화', '코튼', '팬츠', '긴소매', '티셔츠', '카디건', '플리스', '뽀글이', '숄더백', '장갑', '']",fashion_dataset/americancasual/americancasual_Men_045.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_045.png,겨울
45,Men-ame046,Men,과감한 벌룬 핏,americancasual,"['겨울', '아메리칸', '캐주얼', '미즈노', '배드블러드', '세컨모놀로그', '앵글런', '우알롱', '카네이테이', '퀼팅', '노카라', '컬러포인트', '벌룬핏', '캠핑', '아메카지', '카고', '뉴트럴톤', '백팩', '기타', '바지', '긴소매', '티셔츠', '숏패딩', '숏헤비', '아우터', '러닝화', '기타', '상의', '캡', '야구', '모자', '']",fashion_dataset/americancasual/americancasual_Men_046.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_046.png,겨울
46,Men-ame047,Men,헤비 아우터의 계절,americancasual,"['겨울', '아메리칸', '캐주얼', '글랙', '베이프릴', '예스아이씨', '필루미네이트', '호보켄', '글로시', '콜라보', '레이어드룩', '뉴트럴톤', '핀턱', '와이드핏', '아메카지', '한파', '메신저', '크로스', '백', '구두', '코튼', '팬츠', '니트', '스웨터', '롱패딩', '롱헤비', '아우터', '패딩', '베스트', '']",fashion_dataset/americancasual/americancasual_Men_047.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_047.png,겨울
47,Men-ame048,Men,스타일리시해,americancasual,"['겨울', '아메리칸', '캐주얼', '레인스', '롤링스튜디오', '루킹포유', '빌리스앤코', '아웃스탠딩', '펜필드', '컬러블록', '레이어드룩', '플리스', '뉴트럴톤', '톤온톤', '아메카지', '스티치', '블로퍼', '부츠', '토트백', '사파리', '헌팅', '재킷', '코튼', '팬츠', '플리스', '뽀글이', '비니', '셔츠', '블라우스', '']",fashion_dataset/americancasual/americancasual_Men_048.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_048.png,겨울
48,Men-ame049,Men,따뜻해보여!,americancasual,"['겨울', '아메리칸', '캐주얼', '곤니치와봉쥬르', '라퍼지스토어', '모노노', '쏘로굿', '카부', '퀼팅', '플리스', '코듀로이', '레이어드룩', '뉴트럴톤', '컬러블록', '카고', '벌룬핏', '아메카지', '메신저', '크로스', '백', '부츠', '기타', '스니커즈', '트레이닝', '조거', '팬츠', '셔츠', '블라우스', '플리스', '뽀글이', '']",fashion_dataset/americancasual/americancasual_Men_049.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_049.png,겨울
49,Men-ame050,Men,강추위 대비,americancasual,"['겨울', '아메리칸', '캐주얼', '곤니치와봉쥬르', '널디', '무신사', '스탠다드', '블런드스톤', '어반스터프', '오아트', '카부', '헤이플', '호텔세리토스', '컬러블록', '로고플레이', '뉴트럴톤', '레터링', '플리스', '셔츠', '블라우스', '반소매', '티셔츠', '부츠', '안경', '메신저', '크로스', '백', '목걸이', '펜던트', '맨투맨', '스웨트셔츠', '기타', '바지', '플리스', '뽀글이', '캡', '야구', '모자', '']",fashion_dataset/americancasual/americancasual_Men_050.jpg,fashion_dataset_bgrem/americancasual/bgrem_americancasual_Men_050.png,겨울
